Release_Date	Polling_Start	Polling_End	NrParticipants CDU/CSU	SPD	GRÜNE	FDP	LINKE	AFD	SONSTIGE
29.03.2017	20.03.2017	24.03.2017	2501	34	32	7	6	8	7	6
22.03.2017	13.03.2017	17.03.2017	2504	34	31	7	6	7	9	6
15.03.2017	06.03.2017	10.03.2017	2505	33	32	7	6	7	9	6
08.03.2017	27.02.2017	03.03.2017	2502	33	32	8	6	7	8	6
01.03.2017	20.02.2017	24.02.2017	2500	33	31	8	7	7	9	5
22.02.2017	13.02.2017	17.02.2017	2502	34	31	7	6	8	8	6
15.02.2017	05.02.2017	10.02.2017	2502	34	31	7	5	8	9	6
08.02.2017	30.01.2017	03.02.2017	2501	34	31	8	5	8	10	4
01.02.2017	23.01.2017	27.01.2017	2502	35	26	8	6	9	11	5
25.01.2017	16.01.2017	20.01.2017	2504	37	21	10	6	9	12	5
18.01.2017	09.01.2017	13.01.2017	2503	38	21	9	6	9	11	6
11.01.2017	02.01.2017	06.01.2017	2501	37	20	10	6	9	12	6
04.01.2017	27.12.2017	30.12.2017	2001	37	21	10	6	9	12	5
28.12.2016	19.12.2016	23.12.2016	2504	38	20	10	5	9	12	6
20.12.2016	12.12.2016	16.12.2016	2502	36	22	10	6	9	11	6
14.12.2016	05.12.2016	09.12.2016	2506	37	21	10	6	9	11	6
07.12.2016	28.11.2016	02.12.2016	2501	36	22	11	6	10	10	5
30.11.2016	21.11.2016	25.11.2016	2503	37	22	10	5	9	11	6
23.11.2016	14.11.2016	18.11.2016	2505	36	23	10	5	10	10	6
16.11.2016	07.11.2016	11.11.2016	2503	35	23	11	6	10	10	5
09.11.2016	31.10.2016	04.11.2016	2503	34	23	11	6	10	11	5
02.11.2016	24.10.2016	28.10.2016	2503	34	22	11	7	10	11	5
26.10.2016	17.10.2016	21.10.2016	2504	35	22	11	6	9	12	5
19.10.2016	10.10.2016	14.10.2016	2505	34	22	11	6	9	12	6
12.10.2016	04.10.2016	07.10.2016	2004	34	22	11	6	10	12	5
05.10.2016	26.09.2016	30.09.2016	2503	33	22	11	6	10	13	5
28.09.2016	19.09.2016	23.09.2016	2506	33	23	10	6	9	14	5
21.09.2016	12.09.2016	16.09.2016	2504	33	23	11	6	8	13	6
14.09.2016	05.09.2016	09.09.2016	2501	32	23	11	6	8	13	7
07.09.2016	29.08.2016	02.09.2016	2501	33	22	12	7	8	12	6
31.08.2016	22.08.2016	26.08.2016	2503	33	22	12	6	9	12	6
